PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr8-1360	chr8	143718793	143719035	+	1	NA	promoter-TSS (ENST00000527908.1)	lncRNA-promoter-TSS (ENST00000527908.1)	-23	ENST00000527908.1	ENSG00000254548	ENST00000527908			ENSG00000254548			lncRNA
chr1-1255	chr1	111513486	111513728	+	1	NA	intron (ENST00000369717.8, intron 1 of 5)	protein_coding-intron (ENST00000369717.8, intron 1 of 5)	-9974	ENST00000495493.1	ENSG00000282608	ENST00000486342			ADORA3			protein_coding
chr1-2056	chr1	116312455	116312697	+	1	NA	Intergenic	Intergenic	-14955	ENST00000660713.1	ENSG00000287217	ENST00000660713			ENSG00000287217			lncRNA
chr19-1064	chr19	23075286	23075528	+	1	NA	intron (ENST00000593635.1, intron 1 of 2)	protein_coding-intron (ENST00000593635.1, intron 1 of 2)	196	ENST00000600223.1	ENSG00000267886	ENST00000594318			ENSG00000267886			lncRNA
chr19-1218	chr19	1028399	1028641	+	1	NA	intron (ENST00000562015.5, intron 2 of 4)	protein_coding-intron (ENST00000263097.9, intron 1 of 6)	1829	ENST00000562075.6	ENSG00000064666	ENST00000562075			CNN2			protein_coding
chr1-8904	chr1	220441560	220441802	+	1	NA	Intergenic	Intergenic	-6835	ENST00000416788.2	ENSG00000235163	ENST00000416788			RPL7AP81			processed_pseudogene
chr14-2198	chr14	64702994	64703236	+	1	NA	promoter-TSS (ENST00000555982.5)	protein_coding-promoter-TSS (ENST00000555982.5)	-276	ENST00000685504.1	ENSG00000289290	ENST00000685504			ENSG00000289290			lncRNA
chr9-5	chr9	133336098	133336340	+	1	NA	promoter-TSS (ENST00000372022.6)	protein_coding-promoter-TSS (ENST00000372022.6)	-31	ENST00000372022.6	ENSG00000148296	ENST00000468290			SURF6			protein_coding
chr3-1045	chr3	50569430	50569672	+	1	NA	promoter-TSS (ENST00000232854.9)	protein_coding-promoter-TSS (ENST00000232854.9)	-16	ENST00000482974.1	ENSG00000114735	ENST00000424388			HEMK1			protein_coding
chr16-102	chr16	68245064	68245306	+	1	NA	promoter-TSS (ENST00000219345.10)	protein_coding-promoter-TSS (ENST00000219345.10)	-119	ENST00000413021.2	ENSG00000103066	ENST00000562966			PLA2G15			protein_coding
chr20-342	chr20	1466857	1467099	+	1	NA	promoter-TSS (ENST00000216879.9)	protein_coding-promoter-TSS (ENST00000216879.9)	-60	ENST00000476071.5	ENSG00000088833	ENST00000555359			NSFL1C			protein_coding
chr17-2100	chr17	4704123	4704365	+	1	NA	promoter-TSS (ENST00000301396.8)	protein_coding-promoter-TSS (ENST00000301396.8)	14	ENST00000497885.1	ENSG00000244184	ENST00000497885			PELP1-DT			lncRNA
chr16-4987	chr16	57300596	57300838	+	1	NA	Intergenic	Intergenic	-16045	ENST00000219207.10	ENSG00000102934	ENST00000564376			PLLP			protein_coding
chr13-210	chr13	20363322	20363564	+	1	NA	Intergenic	Intergenic	70403	ENST00000584834.1	ENSG00000263978	ENST00000584834			MIR4499			miRNA
chr12-3456	chr12	93563787	93564029	+	1	NA	intron (ENST00000547845.5, intron 3 of 3)	lncRNA-intron (ENST00000499137.6, intron 2 of 2)	3271	ENST00000547845.5	ENSG00000246985	ENST00000499137			SOCS2-AS1			lncRNA
chr10-1704	chr10	119023287	119023529	+	1	NA	intron (ENST00000663084.1, intron 2 of 3)	lncRNA-intron (ENST00000663084.1, intron 2 of 3)	6136	ENST00000663084.1	ENSG00000229272	ENST00000437838			LINC03036			lncRNA
chr12-2640	chr12	100573298	100573540	+	1	NA	promoter-TSS (ENST00000266754.9)	protein_coding-promoter-TSS (ENST00000266754.9)	-264	ENST00000266754.9	ENSG00000139354	ENST00000547739			GAS2L3			protein_coding
chr1-1480	chr1	21626883	21627125	+	1	NA	intron (ENST00000611549.4, intron 2 of 24)	protein_coding-intron (ENST00000317967.11, intron 3 of 7)	-4436	ENST00000374761.6	ENSG00000076864	ENST00000374761			RAP1GAP			protein_coding
chr11-1729	chr11	131696953	131697195	+	1	NA	intron (ENST00000550167.5, intron 2 of 5)	protein_coding-intron (ENST00000374791.7, intron 1 of 7)	-33467	ENST00000416725.3	ENSG00000224795	ENST00000663555			NTM-AS1			lncRNA
chr6-377	chr6	36577294	36577536	+	1	NA	Intergenic	Intergenic	-16938	ENST00000613941.4	ENSG00000112081	ENST00000620242			SRSF3			protein_coding
chr8-3557	chr8	98294949	98295191	+	1	NA	promoter-TSS (ENST00000341166.3)	protein_coding-promoter-TSS (ENST00000341166.3)	-677	ENST00000341166.3	ENSG00000104361	ENST00000341166			NIPAL2			protein_coding
chr1-179	chr1	206557115	206557357	+	1	NA	promoter-TSS (ENST00000577571.5)	protein_coding-promoter-TSS (ENST00000577571.5)	71	ENST00000577571.5	ENSG00000266094	ENST00000579942			RASSF5			protein_coding
chr15-432	chr15	89782297	89782539	+	1	NA	Intergenic	Intergenic	6086	ENST00000341735.5	ENSG00000188095	ENST00000341735			MESP2			protein_coding
chr17-187	chr17	48047682	48047924	+	1	NA	promoter-TSS (ENST00000357480.9)	protein_coding-promoter-TSS (ENST00000357480.9)	295	ENST00000584428.3	ENSG00000263412	ENST00000578660			NFE2L1-DT			lncRNA
chr9-2863	chr9	127794209	127794451	+	1	NA	promoter-TSS (ENST00000479147.6)	protein_coding-promoter-TSS (ENST00000479147.6)	-267	ENST00000479147.6	ENSG00000136877	ENST00000489522			FPGS			protein_coding
chr9-72	chr9	129885956	129886198	+	1	NA	promoter-TSS (ENST00000688549.2)	lncRNA-promoter-TSS (ENST00000688549.2)	-203	ENST00000688549.2	ENSG00000288956	ENST00000688549			ENSG00000288956			lncRNA
chrX-267	chrX	13669336	13669578	+	1	NA	intron (ENST00000467590.1, intron 3 of 4)	protein_coding-intron (ENST00000467590.1, intron 3 of 4)	3381	ENST00000463321.1	ENSG00000176896	ENST00000696127			TCEANC			protein_coding
chr9-50	chr9	137423155	137423397	+	1	NA	promoter-TSS (ENST00000340951.9)	protein_coding-promoter-TSS (ENST00000340951.9)	-65	ENST00000460390.6	ENSG00000187609	ENST00000472958			EXD3			protein_coding
chr5-12	chr5	34915476	34915718	+	1	NA	promoter-TSS (ENST00000325577.8)	protein_coding-promoter-TSS (ENST00000325577.8)	18	ENST00000513914.5	ENSG00000113456	ENST00000512192			RAD1			protein_coding
chr1-1068	chr1	174968756	174968998	+	1	NA	TTS (ENST00000686005.1)	lncRNA-TTS (ENST00000686005.1)	1549	ENST00000686005.1	ENSG00000289425	ENST00000686005			ENSG00000289425			lncRNA
chr19-16	chr19	36573104	36573346	+	1	NA	promoter-TSS (ENST00000334116.7)	protein_coding-promoter-TSS (ENST00000334116.7)	63	ENST00000334116.7	ENSG00000186020	ENST00000587286			ZNF529			protein_coding
chr6-960	chr6	32459940	32460182	+	1	NA	exon (ENST00000449413.1, exon 2 of 2)	unprocessed_pseudogene-exon (ENST00000449413.1, exon 2 of 2)	13439	ENST00000449413.1	ENSG00000196301	ENST00000449413			HLA-DRB9			unprocessed_pseudogene
chr3-6014	chr3	8456347	8456589	+	1	NA	intron (ENST00000420095.2, intron 3 of 3)	lncRNA-intron (ENST00000420095.2, intron 3 of 3)	45130	ENST00000446281.5	ENSG00000227110	ENST00000455811			LMCD1-AS1			lncRNA
chr20-3299	chr20	22390274	22390516	+	1	NA	promoter-TSS (ENST00000635565.1)	lncRNA-promoter-TSS (ENST00000635565.1)	-68	ENST00000635565.1	ENSG00000204684	ENST00000634280			ENSG00000204684			lncRNA
chr10-2145	chr10	80163797	80164039	+	1	NA	intron (ENST00000438331.5, intron 10 of 16)	protein_coding-intron (ENST00000265447.8, intron 8 of 14)	-1906	ENST00000447489.1	ENSG00000122359	ENST00000265447			ANXA11			protein_coding
chr17-3265	chr17	57358186	57358428	+	1	NA	intron (ENST00000675822.1, intron 2 of 2)	protein_coding-intron (ENST00000284073.7, intron 5 of 13)	-48505	ENST00000579205.5	ENSG00000153944	ENST00000675822			MSI2			protein_coding
chr19-647	chr19	14137264	14137506	+	1	NA	promoter-TSS (ENST00000263382.8)	protein_coding-promoter-TSS (ENST00000263382.8)	197	ENST00000588658.1	ENSG00000267169	ENST00000592086			ADGRL1-AS1			lncRNA
chr2-1258	chr2	108786692	108786934	+	1	NA	promoter-TSS (ENST00000295124.9)	protein_coding-promoter-TSS (ENST00000295124.9)	25	ENST00000447782.1	ENSG00000163006	ENST00000447782			CCDC138			protein_coding
chr20-49	chr20	59933504	59933746	+	1	NA	promoter-TSS (ENST00000357552.8)	protein_coding-promoter-TSS (ENST00000357552.8)	12	ENST00000357552.8	ENSG00000196074	ENST00000371001			SYCP2			protein_coding
chr15-589	chr15	40857568	40857810	+	1	NA	TTS (ENST00000563135.5)	protein_coding-TTS (ENST00000563135.5)	1888	ENST00000568200.1	ENSG00000166145	ENST00000568200			SPINT1			protein_coding
chr21-427	chr21	44736649	44736891	+	1	NA	Intergenic	Intergenic	-12130	ENST00000685999.2	ENSG00000289144	ENST00000685999			ENSG00000289144			lncRNA
chr15-1178	chr15	51228313	51228555	+	1	NA	intron (ENST00000561075.5, intron 3 of 6)	protein_coding-intron (ENST00000396402.6, intron 3 of 9)	-6080	ENST00000558066.1	ENSG00000137869	ENST00000559878			CYP19A1			protein_coding
chr16-3000	chr16	69723812	69724054	+	1	NA	intron (ENST00000564043.1, intron 1 of 5)	protein_coding-intron (ENST00000320623.10, intron 1 of 5)	2573	ENST00000561500.5	ENSG00000181019	ENST00000569118			NQO1			protein_coding
chr10-416	chr10	71868127	71868369	+	1	NA	Intergenic	Intergenic	-10108	ENST00000441348.1	ENSG00000230526	ENST00000441348			ENSG00000230526			lncRNA
chr8-12	chr8	70608300	70608542	+	1	NA	promoter-TSS (ENST00000262213.7)	protein_coding-promoter-TSS (ENST00000262213.7)	-5	ENST00000262213.7	ENSG00000067167	ENST00000520700			TRAM1			protein_coding
chr1-47	chr1	8197809	8198051	+	1	NA	Intergenic	Intergenic	-3588	ENST00000670361.1	ENSG00000227634	ENST00000452982			LINC01714			lncRNA
chr5-562	chr5	14768015	14768257	+	1	NA	TTS (ENST00000503389.1)	protein_coding-TTS (ENST00000503389.1)	1014	ENST00000646501.1	ENSG00000154122	ENST00000502585			ANKH			protein_coding
chr11-417	chr11	130448482	130448724	+	1	NA	promoter-TSS (ENST00000299164.4)	protein_coding-promoter-TSS (ENST00000299164.4)	-42	ENST00000299164.4	ENSG00000166106	ENST00000299164			ADAMTS15			protein_coding
chr17-72	chr17	83189708	83189950	+	1	NA	intron (ENST00000652318.1, intron 2 of 3)	lncRNA-intron (ENST00000651869.1, intron 2 of 3)	-9823	ENST00000691786.1	ENSG00000262898	ENST00000572343			ENSG00000262898			lncRNA
chr1-3864	chr1	234957591	234957833	+	1	NA	exon (ENST00000418557.1, exon 3 of 4)	lncRNA-exon (ENST00000418557.1, exon 3 of 4)	481	ENST00000423963.1	ENSG00000237520	ENST00000423963			LINC02971			lncRNA
chr2-4376	chr2	20593568	20593810	+	1	NA	intron (ENST00000415264.5, intron 3 of 3)	protein_coding-intron (ENST00000415264.5, intron 3 of 3)	-1141	ENST00000449391.2	ENSG00000231948	ENST00000449391			HS1BP3-IT1			lncRNA
chr3-910	chr3	129440168	129440410	+	1	NA	promoter-TSS (ENST00000249910.5)	protein_coding-promoter-TSS (ENST00000249910.5)	7	ENST00000685189.1	ENSG00000163913	ENST00000689871			IFT122			protein_coding
chr3-1182	chr3	161291257	161291499	+	1	NA	Intergenic	Intergenic	34841	ENST00000467631.1	ENSG00000240138	ENST00000467631			EEF1GP4			processed_pseudogene
chr13-668	chr13	32315356	32315598	+	1	NA	promoter-TSS (ENST00000380152.8)	protein_coding-promoter-TSS (ENST00000380152.8)	-28	ENST00000530893.7	ENSG00000139618	ENST00000700199			BRCA2			protein_coding
chr1-170	chr1	151511715	151511957	+	1	NA	intron (ENST00000271636.12, intron 1 of 20)	protein_coding-intron (ENST00000271636.12, intron 1 of 20)	449	ENST00000271636.12	ENSG00000143375	ENST00000464886			CGN			protein_coding
chr5-341	chr5	3962191	3962433	+	1	NA	Intergenic	Intergenic	51337	ENST00000513859.1	ENSG00000248962	ENST00000513859			ENSG00000248962			lncRNA
chr8-1344	chr8	142627530	142627772	+	1	NA	intron (ENST00000701541.1, intron 2 of 6)	lncRNA-intron (ENST00000685588.1, intron 2 of 6)	7278	ENST00000563435.1	ENSG00000261044	ENST00000563435			ENSG00000261044			lncRNA
chr16-8	chr16	73015689	73015931	+	1	NA	exon (ENST00000624910.1, exon 1 of 1)	TEC-exon (ENST00000624910.1, exon 1 of 1)	206	ENST00000624910.1	ENSG00000279591	ENST00000624910			ENSG00000279591			TEC
chr19-364	chr19	49817962	49818204	+	1	NA	promoter-TSS (ENST00000312865.10)	protein_coding-promoter-TSS (ENST00000312865.10)	-199	ENST00000593595.1	ENSG00000104973	ENST00000595185			MED25			protein_coding
chr16-1821	chr16	67816635	67816877	+	1	NA	intron (ENST00000569504.5, intron 2 of 8)	protein_coding-intron (ENST00000388833.7, intron 2 of 15)	9461	ENST00000562321.1	ENSG00000102904	ENST00000487120			TSNAXIP1			protein_coding
chr8-2851	chr8	124907038	124907280	+	1	NA	intron (ENST00000667269.1, intron 1 of 2)	lncRNA-intron (ENST00000528090.5, intron 3 of 5)	-13269	ENST00000514059.1	ENSG00000250428	ENST00000514059			MRS2P1			processed_pseudogene
chr4-23	chr4	82374256	82374498	+	1	NA	promoter-TSS (ENST00000313899.12)	protein_coding-promoter-TSS (ENST00000313899.12)	92	ENST00000609575.2	ENSG00000272677	ENST00000688760			HNRNPD-DT			lncRNA
chr1-24	chr1	77683366	77683608	+	1	NA	promoter-TSS (ENST00000370798.5)	protein_coding-promoter-TSS (ENST00000370798.5)	-68	ENST00000370798.5	ENSG00000036549	ENST00000469944			ZZZ3			protein_coding
chr4-434	chr4	51844725	51844967	+	1	NA	promoter-TSS (ENST00000504661.1)	protein_coding-promoter-TSS (ENST00000504661.1)	-38	ENST00000504661.1	ENSG00000109184	ENST00000505403			DCUN1D4			protein_coding
chr20-4835	chr20	36085819	36086061	+	1	NA	TTS (ENST00000433587.1)	lncRNA-TTS (ENST00000433587.1)	2252	ENST00000433587.1	ENSG00000237063	ENST00000433587			ENSG00000237063			lncRNA
chr17-2420	chr17	75289501	75289743	+	1	NA	promoter-TSS (ENST00000320362.7)	protein_coding-promoter-TSS (ENST00000320362.7)	-112	ENST00000580273.1	ENSG00000125454	ENST00000579228			SLC25A19			protein_coding
chr6-2913	chr6	36320644	36320886	+	1	NA	intron (ENST00000437635.3, intron 10 of 11)	protein_coding-intron (ENST00000437635.3, intron 10 of 11)	16123	ENST00000437635.3	ENSG00000189325	ENST00000437635			BNIP5			protein_coding
chr2-613	chr2	64906927	64907169	+	1	NA	promoter-TSS (ENST00000485246.3)	misc_RNA-promoter-TSS (ENST00000485246.3)	90	ENST00000485246.3	ENSG00000244534	ENST00000485246			RN7SL211P			misc_RNA
chr11-55	chr11	74948983	74949225	+	1	NA	promoter-TSS (ENST00000263672.11)	protein_coding-promoter-TSS (ENST00000263672.11)	0	ENST00000531852.5	ENSG00000166435	ENST00000529926			XRRA1			protein_coding
chr11-9	chr11	66718713	66718955	+	1	NA	promoter-TSS (ENST00000617502.5)	protein_coding-promoter-TSS (ENST00000617502.5)	38	ENST00000617502.5	ENSG00000173898	ENST00000530775			SPTBN2			protein_coding
chr17-115	chr17	50867681	50867923	+	1	NA	exon (ENST00000416263.3, exon 2 of 2)	lncRNA-exon (ENST00000416263.3, exon 2 of 2)	176	ENST00000268957.3	ENSG00000141232	ENST00000509385			TOB1			protein_coding
chr3-824	chr3	48301387	48301629	+	1	NA	promoter-TSS (ENST00000302378.2)	protein_coding-promoter-TSS (ENST00000302378.2)	59	ENST00000684930.1	ENSG00000289043	ENST00000684930			ENSG00000289043			lncRNA
chr14-2024	chr14	24332196	24332438	+	1	NA	TTS (ENST00000555591.1)	lncRNA-TTS (ENST00000555591.1)	167	ENST00000554577.5	ENSG00000129467	ENST00000554577			ADCY4			protein_coding
chr4-1489	chr4	111642084	111642326	+	1	NA	promoter-TSS (ENST00000681719.1)	lncRNA-promoter-TSS (ENST00000681719.1)	-41	ENST00000681719.1	ENSG00000248656	ENST00000510034			ENSG00000248656			lncRNA
chr7-6235	chr7	137954043	137954285	+	1	NA	intron (ENST00000418554.1, intron 1 of 3)	protein_coding-intron (ENST00000330387.11, intron 1 of 11)	816	ENST00000418554.1	ENSG00000237243	ENST00000418554			CREB3L2-AS1			lncRNA
chr7-21	chr7	149239431	149239673	+	1	NA	promoter-TSS (ENST00000335870.7)	protein_coding-promoter-TSS (ENST00000335870.7)	-99	ENST00000335870.7	ENSG00000170260	ENST00000462724			ZNF212			protein_coding
chr21-121	chr21	45403234	45403476	+	1	NA	TTS (ENST00000617004.2)	lncRNA-TTS (ENST00000617004.2)	1588	ENST00000617004.2	ENSG00000273796	ENST00000617004			BNAT1			lncRNA
chr11-283	chr11	18634278	18634520	+	1	NA	promoter-TSS (ENST00000336349.6)	protein_coding-promoter-TSS (ENST00000336349.6)	-10	ENST00000536336.5	ENSG00000179119	ENST00000543776			SPTY2D1			protein_coding
chr19-434	chr19	41225997	41226239	+	1	NA	promoter-TSS (ENST00000593513.1)	protein_coding-promoter-TSS (ENST00000593513.1)	-637	ENST00000593513.1	ENSG00000167601	ENST00000594880			AXL			protein_coding
chr19-287	chr19	46731093	46731335	+	1	NA	promoter-TSS (ENST00000595357.5)	protein_coding-promoter-TSS (ENST00000595357.5)	-283	ENST00000599231.5	ENSG00000090372	ENST00000594704			STRN4			protein_coding
chr1-253	chr1	23368782	23369024	+	1	NA	promoter-TSS (ENST00000335648.3)	lncRNA-promoter-TSS (ENST00000335648.3)	-36	ENST00000437367.5	ENSG00000249087	ENST00000703051			ZNF436-AS1			lncRNA
chr14-260	chr14	20305778	20306020	+	1	NA	promoter-TSS (ENST00000258821.8)	protein_coding-promoter-TSS (ENST00000258821.8)	42	ENST00000383029.7	ENSG00000136319	ENST00000258821			TTC5			protein_coding
chr11-5	chr11	68380442	68380684	+	1	NA	intron (ENST00000529993.5, intron 5 of 22)	protein_coding-intron (ENST00000294304.12, intron 5 of 22)	-23414	ENST00000528890.1	ENSG00000162337	ENST00000529702			LRP5			protein_coding
chr11-95	chr11	68043524	68043766	+	1	NA	promoter-TSS (ENST00000525724.5)	protein_coding-promoter-TSS (ENST00000525724.5)	-144	ENST00000525724.5	ENSG00000110719	ENST00000698257			TCIRG1			protein_coding
chr5-420	chr5	177134485	177134727	+	1	NA	promoter-TSS (ENST00000638627.3)	protein_coding-promoter-TSS (ENST00000638627.3)	377	ENST00000347982.9	ENSG00000165671	ENST00000354179			NSD1			protein_coding
chrX-682	chrX	55717677	55717919	+	1	NA	promoter-TSS (ENST00000262850.7)	protein_coding-promoter-TSS (ENST00000262850.7)	49	ENST00000414239.5	ENSG00000083750	ENST00000475061			RRAGB			protein_coding
chr7-1638	chr7	157282361	157282603	+	1	NA	exon (ENST00000442017.1, exon 1 of 2)	lncRNA-exon (ENST00000442017.1, exon 1 of 2)	204	ENST00000442017.1	ENSG00000229660	ENST00000442017			ENSG00000229660			lncRNA
chr1-2897	chr1	203998663	203998905	+	1	NA	intron (ENST00000702552.1, intron 1 of 2)	lncRNA-intron (ENST00000655658.1, intron 1 of 2)	2004	ENST00000702552.1	ENSG00000286383	ENST00000655658			ENSG00000286383			lncRNA
chr2-4208	chr2	240069819	240070061	+	1	NA	Intergenic	Intergenic	-9493	ENST00000426985.1	ENSG00000231278	ENST00000426985			OR9S24P			unprocessed_pseudogene
chr1-1352	chr1	197902687	197902929	+	1	NA	promoter-TSS (ENST00000436652.1)	protein_coding-promoter-TSS (ENST00000436652.1)	30	ENST00000436652.1	ENSG00000203724	ENST00000367393			C1orf53			protein_coding
chr9-389	chr9	129803224	129803466	+	1	NA	promoter-TSS (ENST00000427860.1)	protein_coding-promoter-TSS (ENST00000427860.1)	77	ENST00000427860.1	ENSG00000136816	ENST00000488169			TOR1B			protein_coding
chr2-4096	chr2	219002673	219002915	+	1	NA	TTS (ENST00000341552.10)	protein_coding-TTS (ENST00000341552.10)	579	ENST00000441450.1	ENSG00000224090	ENST00000441450			ENSG00000224090			lncRNA
chr6-969	chr6	33732058	33732300	+	1	NA	intron (ENST00000634274.1, intron 3 of 3)	protein_coding-intron (ENST00000293756.5, intron 2 of 5)	14669	ENST00000634274.1	ENSG00000161896	ENST00000293756			IP6K3			protein_coding
chr2-2533	chr2	26721648	26721890	+	1	NA	intron (ENST00000302909.4, intron 1 of 1)	protein_coding-intron (ENST00000302909.4, intron 1 of 1)	29047	ENST00000302909.4	ENSG00000171303	ENST00000302909			KCNK3			protein_coding
chr12-2766	chr12	121127683	121127925	+	1	NA	Intergenic	Intergenic	-5015	ENST00000537312.5	ENSG00000089041	ENST00000541716			P2RX7			protein_coding
chr19-1100	chr19	37941497	37941739	+	1	NA	intron (ENST00000476317.2, intron 1 of 2)	protein_coding-intron (ENST00000222345.11, intron 1 of 21)	9272	ENST00000476317.2	ENSG00000105738	ENST00000594553			SIPA1L3			protein_coding
chr12-2110	chr12	117969298	117969540	+	1	NA	promoter-TSS (ENST00000339824.7)	protein_coding-promoter-TSS (ENST00000339824.7)	-429	ENST00000339824.7	ENSG00000171435	ENST00000339824			KSR2			protein_coding
chr17-734	chr17	41966795	41967037	+	1	NA	promoter-TSS (ENST00000441615.2)	protein_coding-promoter-TSS (ENST00000441615.2)	34	ENST00000441615.2	ENSG00000173786	ENST00000486438			CNP			protein_coding
chr16-497	chr16	85978970	85979212	+	1	NA	intron (ENST00000645754.1, intron 2 of 2)	lncRNA-intron (ENST00000645754.1, intron 2 of 2)	-2659	ENST00000599411.2	ENSG00000269667	ENST00000599411			ENSG00000269667			lncRNA
chr16-1558	chr16	89153771	89154013	+	1	NA	exon (ENST00000393145.5, exon 1 of 1)	protein_coding-exon (ENST00000393145.5, exon 1 of 1)	3292	ENST00000562750.1	ENSG00000176715	ENST00000562204			ACSF3			protein_coding
chr4-1710	chr4	2583642	2583884	+	1	NA	intron (ENST00000637812.2, intron 1 of 20)	protein_coding-intron (ENST00000637812.2, intron 1 of 20)	24383	ENST00000511554.1	ENSG00000248155	ENST00000511554			ENSG00000248155			unprocessed_pseudogene
chr10-205	chr10	44311094	44311336	+	1	NA	promoter-TSS (ENST00000658643.1)	lncRNA-promoter-TSS (ENST00000658643.1)	-978	ENST00000664323.1	ENSG00000287901	ENST00000664323			ENSG00000287901			lncRNA
chr12-389	chr12	100200851	100201093	+	1	NA	exon (ENST00000546902.5, exon 1 of 11)	protein_coding-exon (ENST00000546902.5, exon 1 of 11)	121	ENST00000551617.1	ENSG00000075089	ENST00000552376			ACTR6			protein_coding
chr2-1195	chr2	61177040	61177282	+	1	NA	promoter-TSS (ENST00000357022.6)	lncRNA-promoter-TSS (ENST00000357022.6)	-257	ENST00000357022.6	ENSG00000293434	ENST00000463681			AHSA2P			lncRNA
chr12-70	chr12	106357586	106357828	+	1	NA	promoter-TSS (ENST00000228347.9)	protein_coding-promoter-TSS (ENST00000228347.9)	-41	ENST00000228347.9	ENSG00000013503	ENST00000539066			POLR3B			protein_coding
chr1-80	chr1	151282252	151282494	+	1	NA	promoter-TSS (ENST00000324048.9)	protein_coding-promoter-TSS (ENST00000324048.9)	61	ENST00000324048.9	ENSG00000143373	ENST00000449313			ZNF687			protein_coding
chr17-706	chr17	75844652	75844894	+	1	NA	promoter-TSS (ENST00000207549.9)	protein_coding-promoter-TSS (ENST00000207549.9)	0	ENST00000699512.1	ENSG00000092929	ENST00000589670			UNC13D			protein_coding
chr14-2720	chr14	37650788	37651030	+	1	NA	intron (ENST00000553443.6, intron 3 of 32)	protein_coding-intron (ENST00000533625.5, intron 2 of 18)	39658	ENST00000533625.5	ENSG00000139865	ENST00000555921			TTC6			protein_coding
chr9-4658	chr9	97876729	97876971	+	1	NA	Intergenic	Intergenic	23624	ENST00000375123.5	ENSG00000178919	ENST00000375123			FOXE1			protein_coding
chr1-900	chr1	203607300	203607542	+	1	NA	Intergenic	Intergenic	-19411	ENST00000341360.7	ENSG00000058668	ENST00000357681			ATP2B4			protein_coding
chr20-40	chr20	47204396	47204638	+	1	NA	Intergenic	Intergenic	37550	ENST00000584070.1	ENSG00000264901	ENST00000584070			MIR3616			miRNA
chr11-69	chr11	66638601	66638843	+	1	NA	promoter-TSS (ENST00000310092.12)	protein_coding-promoter-TSS (ENST00000310092.12)	2	ENST00000530235.1	ENSG00000173933	ENST00000310092			RBM4			protein_coding
chr8-5494	chr8	143136240	143136482	+	1	NA	Intergenic	Intergenic	23679	ENST00000430474.6	ENSG00000176956	ENST00000414417			LY6H			protein_coding
chr20-341	chr20	63682657	63682899	+	1	NA	intron (ENST00000647249.1, intron 1 of 2)	protein_coding-intron (ENST00000318100.9, intron 13 of 33)	241	ENST00000647249.1	ENSG00000258366	ENST00000697814			RTEL1			protein_coding
chr7-1990	chr7	130357196	130357438	+	1	NA	intron (ENST00000495736.1, intron 4 of 10)	protein_coding-intron (ENST00000393213.7, intron 3 of 10)	-6124	ENST00000479492.1	ENSG00000158525	ENST00000485477			CPA5			protein_coding
chr1-322	chr1	201353435	201353677	+	1	NA	Intergenic	Intergenic	7801	ENST00000477035.1	ENSG00000118194	ENST00000422165			TNNT2			protein_coding
chr14-35	chr14	74881831	74882073	+	1	NA	promoter-TSS (ENST00000238671.11)	protein_coding-promoter-TSS (ENST00000238671.11)	-2	ENST00000626051.1	ENSG00000119689	ENST00000555071			DLST			protein_coding
chr14-1864	chr14	95516128	95516370	+	1	NA	intron (ENST00000554161.1, intron 1 of 1)	lncRNA-intron (ENST00000554161.1, intron 1 of 1)	113	ENST00000554161.1	ENSG00000258572	ENST00000554161			ENSG00000258572			lncRNA
chr1-8746	chr1	204807266	204807508	+	1	NA	Intergenic	Intergenic	-21264	ENST00000404977.6	ENSG00000163531	ENST00000403080			NFASC			protein_coding
chr5-1129	chr5	177351724	177351966	+	1	NA	promoter-TSS (ENST00000303127.12)	protein_coding-promoter-TSS (ENST00000303127.12)	-5	ENST00000694903.1	ENSG00000169223	ENST00000694904			LMAN2			protein_coding
chr19-1629	chr19	2819812	2820054	+	1	NA	promoter-TSS (ENST00000317243.10)	protein_coding-promoter-TSS (ENST00000317243.10)	14	ENST00000590116.5	ENSG00000172006	ENST00000317243			ZNF554			protein_coding
chr16-4093	chr16	87160379	87160621	+	1	NA	intron (ENST00000562840.1, intron 1 of 4)	protein_coding-intron (ENST00000562840.1, intron 1 of 4)	30643	ENST00000648601.1	ENSG00000285527	ENST00000648601			ENSG00000285527			lncRNA
chr17-1523	chr17	21043562	21043804	+	1	NA	promoter-TSS (ENST00000261497.9)	protein_coding-promoter-TSS (ENST00000261497.9)	77	ENST00000579645.5	ENSG00000124422	ENST00000478443			USP22			protein_coding
chr17-560	chr17	40555768	40556010	+	1	NA	intron (ENST00000578085.1, intron 1 of 1)	protein_coding-intron (ENST00000246657.2, intron 2 of 2)	5124	ENST00000579344.1	ENSG00000126353	ENST00000578085			CCR7			protein_coding
chr1-8	chr1	3708940	3709182	+	1	NA	TTS (ENST00000604194.1)	protein_coding-TTS (ENST00000604194.1)	5237	ENST00000416554.1	ENSG00000235131	ENST00000416554			TP73-AS2			lncRNA
